nose_x,nose_y,eye_l_x,eye_l_y,eye_r_x,eye_r_y,shoulder_l_x,shoulder_l_y,shoulder_r_x,shoulder_r_y,label
0.494811475,0.406687587,0.517947793,0.35230431,0.531462371,0.351580203,0.670320153,0.668487787,0.300108343,0.671715736,Good Posture
0.495673269,0.406622082,0.519014716,0.351990432,0.532714248,0.35142833,0.669825315,0.668759584,0.29996562,0.671730042,Good Posture
0.495683253,0.4090904,0.51902163,0.353905588,0.532771766,0.353339225,0.669762135,0.668021858,0.301901758,0.671984434,Good Posture
0.496085465,0.407879502,0.519364536,0.35262993,0.533100486,0.352159768,0.669776082,0.668066204,0.30135572,0.672784507,Good Posture
0.496049106,0.408046603,0.519325554,0.352757126,0.532981992,0.352320194,0.66951406,0.667905927,0.301368833,0.674330115,Good Posture
0.496193826,0.408207983,0.519383788,0.352865875,0.533212602,0.352461427,0.66979903,0.668397188,0.301172972,0.675483823,Good Posture
0.496199697,0.408548266,0.519401729,0.353148639,0.533213317,0.352750897,0.669809282,0.668418586,0.300963521,0.675552249,Good Posture
0.495165914,0.407493442,0.51865989,0.352253914,0.532496989,0.351748079,0.670574009,0.668293357,0.302118838,0.675496459,Good Posture
0.495191425,0.407592118,0.518710971,0.352353275,0.532492042,0.351861894,0.670713425,0.668064654,0.302297235,0.675602376,Good Posture
0.494335651,0.405761242,0.518058419,0.350915432,0.531855345,0.350625694,0.670729876,0.668054044,0.303092241,0.675398052,Good Posture
0.494271517,0.40291205,0.517993808,0.348959744,0.531698287,0.348829091,0.670711339,0.668044686,0.30113247,0.676111937,Good Posture
0.49397698,0.402920336,0.517657697,0.348948926,0.53117007,0.348772705,0.670792878,0.667921841,0.302285016,0.676104724,Good Posture
0.493957043,0.403645307,0.51763463,0.349665076,0.531114519,0.349336743,0.671439528,0.667801619,0.302934885,0.675407767,Good Posture
0.494317234,0.404486179,0.517726779,0.350343585,0.531114936,0.349738181,0.671246648,0.668188691,0.301782668,0.674841702,Good Posture
0.4974204,0.40532729,0.519635677,0.350719184,0.533475816,0.349977136,0.671252847,0.66738075,0.301785648,0.673370659,Good Posture
0.497361004,0.405269414,0.519548237,0.350660592,0.533257365,0.349808723,0.671732306,0.667434394,0.302141845,0.673573375,Good Posture
0.497174799,0.405338407,0.519440293,0.350815296,0.532957792,0.349885583,0.67151624,0.667138696,0.302140206,0.67305845,Good Posture
0.498333633,0.405439198,0.520384967,0.351087898,0.534112632,0.350111306,0.670904279,0.667173743,0.30218482,0.671689451,Good Posture
